00:00:01:000:0 out_port [4, 0.866587]
00:00:02:000:0 out_port [4, 0.72226]
00:00:03:000:0 out_port [4, 0.590114]
00:00:04:000:0 out_port [4, 0.458687]
00:00:05:000:0 out_port [4, 0.341317]
00:00:06:000:0 out_port [4, 0.483799]
00:00:07:000:0 out_port [4, 0.621838]
00:00:08:000:0 out_port [4, 0.737968]
00:00:09:000:0 out_port [4, 0.600063]
00:00:10:000:0 out_port [4, 0.469865]
00:00:11:000:0 out_port [4, 0.352444]
00:00:12:000:0 out_port [4, 0.232613]
00:00:13:000:0 out_port [4, 0.105742]
00:00:14:000:0 out_port [4, 0]
00:00:15:000:0 out_port [4, 0.126874]
00:00:16:000:0 out_port [4, 0.0034738]
00:00:17:000:0 out_port [4, 0]
00:00:18:000:0 out_port [4, 0.139677]
00:00:19:000:0 out_port [4, 0.271745]
00:00:20:000:0 out_port [4, 0.132172]
00:00:21:000:0 out_port [4, 0.000712564]
00:00:22:000:0 out_port [4, 0]
00:00:23:000:0 out_port [4, 0.149319]
00:00:24:000:0 out_port [4, 0.0157238]
00:00:25:000:0 out_port [4, 0.160654]
00:00:26:000:0 out_port [4, 0.300931]
00:00:27:000:0 out_port [4, 0.446245]
00:00:28:000:0 out_port [4, 0.315627]
00:00:29:000:0 out_port [4, 0.197637]
00:00:30:000:0 out_port [4, 0.324379]
00:00:31:000:0 out_port [4, 0.195309]
00:00:32:000:0 out_port [4, 0.0696333]
00:00:33:000:0 out_port [4, 0]
00:00:34:000:0 out_port [4, 0.139499]
00:00:35:000:0 out_port [4, 0.00618017]
00:00:36:000:0 out_port [4, 0]
00:00:37:000:0 out_port [4, 0.142796]
00:00:38:000:0 out_port [4, 0.019425]
00:00:39:000:0 out_port [4, 0.171317]
00:00:40:000:0 out_port [4, 0.0490751]
00:00:41:000:0 out_port [4, 0]
00:00:42:000:0 out_port [4, 0.135113]
00:00:43:000:0 out_port [4, 0.0279782]
00:00:44:000:0 out_port [4, 0.175267]
00:00:45:000:0 out_port [4, 0.0422777]
00:00:46:000:0 out_port [4, 0.178723]
00:00:47:000:0 out_port [4, 0.0691747]
00:00:48:000:0 out_port [4, 0]
00:00:49:000:0 out_port [4, 0]
00:00:50:000:0 out_port [4, 0.13869]
00:00:51:000:0 out_port [4, 0.00690454]
00:00:52:000:0 out_port [4, 0.150544]
00:00:53:000:0 out_port [4, 0.294848]
00:00:54:000:0 out_port [4, 0.183283]
00:00:55:000:0 out_port [4, 0.328844]
00:00:56:000:0 out_port [4, 0.214829]
00:00:57:000:0 out_port [4, 0.0807264]
00:00:58:000:0 out_port [4, 0]
00:00:59:000:0 out_port [4, 0.147696]
00:01:00:000:0 out_port [4, 0.270771]
00:01:01:000:0 out_port [4, 0.149031]
00:01:02:000:0 out_port [4, 0.284633]
00:01:03:000:0 out_port [4, 0.15536]
00:01:04:000:0 out_port [4, 0.301371]
00:01:05:000:0 out_port [4, 0.434527]
00:01:06:000:0 out_port [4, 0.313345]
00:01:07:000:0 out_port [4, 0.178165]
00:01:08:000:0 out_port [4, 0.313599]
00:01:09:000:0 out_port [4, 0.184709]
00:01:10:000:0 out_port [4, 0.0679267]
00:01:11:000:0 out_port [4, 0]
00:01:12:000:0 out_port [4, 0.146436]
00:01:13:000:0 out_port [4, 0.296095]
00:01:14:000:0 out_port [4, 0.162464]
00:01:15:000:0 out_port [4, 0.284795]
00:01:16:000:0 out_port [4, 0.409052]
00:01:17:000:0 out_port [4, 0.533895]
00:01:18:000:0 out_port [4, 0.395754]
00:01:19:000:0 out_port [4, 0.258152]
00:01:20:000:0 out_port [4, 0.387565]
00:01:21:000:0 out_port [4, 0.514898]
00:01:22:000:0 out_port [4, 0.651409]
00:01:23:000:0 out_port [4, 0.500346]
00:01:24:000:0 out_port [4, 0.624361]
00:01:25:000:0 out_port [4, 0.751119]
00:01:26:000:0 out_port [4, 0.617005]
00:01:27:000:0 out_port [4, 0.742618]
